parking & 9.5 & spider & 12.5 \\
tetris & 8.5 & organic-synth & 10.5 \\
visitall & 7.4 & nurikabe & 9.9 \\
transport & 6.7 & caldera & 7.5 \\
tidybot & 4.9 & caldera-split & 4.4 \\
openstacks & 4.8 & petri-net & 4.1 \\
citycar & 4.1 & agricola & 4.1 \\
cave-diving & 4.1 & snake & 3.8 \\
hiking & 3.64 & settlers & 2.2 \\
GED & 3.5 & termes & 1.5 \\
child-snack & 2.2 & data-network & 0.9 \\
floortile & 1.4 & & \\
maintenance & 1.1 & &  \\
barman & 0.9 & & 
